0,449,7531,2212,116,8119,2424,5297,3393
2695,6582,4744,6418,3515,1880,1581,2195,6509
1,732,3239,7673,1759,1175,1185,8670,8519
261,759,559,2025,2663,2481,2536,2119,664
2,4657,1946,7428,508,740,3512,8794,723
507,7702,7394,2313,4325,2976,1832,3800,7075
3,123,455,8162,3715,8456,1333,202,4824
89,1172,1899,202,8025,7294,2642,2824,5886
4,856,203,2036,8579,6579,1371,6364,22
731,1184,3151,3934,1149,8869,4447,7879,184
5,94,240,889,2714,334,2059,1092,4900
1692,4715,1734,1304,5181,6841,4694,4021,2374
6,1495,798,2608,2496,8309,888,1103,3360
2225,1407,975,5261,1911,8679,1338,2375,900
7,595,438,2531,2784,1889,6070,3581,1031
600,365,1043,1160,1590,1286,1106,7796,1088
8,1780,2449,1924,241,3066,34,335,3115
751,3013,8650,1241,1827,4096,861,1121,3253
9,1689,5044,946,882,389,812,1444,115
184,3054,8719,5123,8884,2554,8869,3471,610
10,3994,2831,1683,2986,1576,2204,2868,608
704,2074,7500,77,1122,2904,1790,846,4697
11,2964,3006,5817,1608,3608,4048,8016,1013
611,5660,4081,1660,977,5022,6486,1217,7698
12,4367,5269,446,267,2249,2327,3708,3191
108,8085,2489,824,2406,2464,6792,7918,2439
13,1132,16,3817,1878,3659,3010,224,8593
1153,7969,2063,424,4680,2855,8697,8092,131
14,4070,4091,2424,2326,2783,8197,4818,216
2789,5958,449,7645,6337,7575,3224,3831,2212
15,974,6585,2708,2581,356,8435,1325,2247
2049,3526,867,2208,566,2653,400,1989,1833
16,1132,13,8593,7871,3817,3659,3929,3010
3918,3188,5549,2870,5551,2091,1549,3591,1218
17,615,305,1244,5862,8705,4341,6231,8358
2618,1126,1901,6102,1859,5734,86,1347,8397
18,2058,7471,2170,2616,3372,1832,2761,1230
1478,2693,6537,1200,4173,4445,787,3932,1158
19,1374,1733,1778,2401,648,4155,3657,3979
2363,3740,7444,4330,1376,3664,6745,1006,5343
